Grammar Point,Meaning,Formation,Example (Japanese),Example (Romaji),Example (English),JLPT Level
なんで～ (nande～),"Asking the reason or cause; 'why', 'how come'.",なんで + [phrase or sentence],なんで遅れたの？,Nande okureta no?,Why were you late?,JLPT N5
なんでも～ (nandemo～),"Means 'any', 'anything', 'anyone'.",なんでも + Verb / なんでも + Adjective / なんでも + Noun,なんでも食べられるから、何を頼んでも大丈夫です。,"Nandemo taberareru kara, nani wo tanondemo daijoubu desu.","I can eat anything, so it's okay to order whatever you want.",JLPT N5
～なんと 言いますか。 (〜nan to iimasu ka.),Asking how something is called or referred to; 'how do you say',Noun + は/が + なんと言いますか,この花はなんと言いますか。,Kono hana wa nan to iimasu ka.,How do you say this flower?,JLPT N5
～に あげます (〜 ni agemasu),"Used to express giving something to someone; 'give', 'offer'.",Receiver + に + Object + を + あげます,私は友達に本をあげました。,Watashi wa tomodachi ni hon wo agemashita.,I gave a book to my friend.,JLPT N5
～に もらいます (〜ni moraimasu),"To receive something or some action from someone; 'to get', 'to receive'.",Giver + に + Verb-te form + もらいます / Giver + に + Object + を + もらいます,友達にプレゼントをもらいました。,Tomodachi ni purezento wo moraimashita.,I received a gift from my friend.,JLPT N5
～の (〜no),"Express possession, apposition, or description using 'of' or ''s'.","Noun1 + の + Noun2, (Adjective/Clause) + の (nominalized), etc.",これは私の鞄です。,Kore wa watashi no kaban desu.,This is my bag.,JLPT N5
～はたいへんです (〜wa taihen desu),Express that something is difficult or tough.,Noun + はたいへんです,漢字を覚えるのはたいへんです。,Kanji o oboeru no wa taihen desu.,It is difficult to remember kanji.,JLPT N5
ほとんど〜 (hotondo〜),"Used to express 'almost', 'nearly', or 'most'.",ほとんど + Verb / ほとんど + Noun,彼女はほとんど英語を話せません。,Kanojo wa hotondo eigo o hanasemasen.,She can hardly speak English.,JLPT N5
まあまあ～ (maa maa～),"Expresses something as 'so-so', 'not bad', or 'average'.",Used as an adverb or short expression with no special grammar structure.,彼の料理の腕前はまあまあです。,Kare no ryouri no udemae wa maa maa desu.,His cooking skills are so-so.,JLPT N5
まだ〜 (mada〜),"Indicates something has not yet happened or is still happening; 'still', 'not yet'.","まだ + Verb (non-past / negative / te-form), まだ + い-adjective, まだ + な-adjective + じゃない/ではない, まだ + Noun + じゃない/ではない",昼ご飯はまだ食べていません。,Hirugohan wa mada tabete imasen.,I haven't eaten lunch yet.,JLPT N5
まだ〜ないです (mada 〜 nai desu),Expresses that something has not happened or been done yet.,まだ + Verb-negative + です,まだ宿題をしていないです。,Mada shukudai o shite inai desu.,I haven't done my homework yet.,JLPT N5
まだ～ません (mada ~masen),Expresses that something has not happened or been done yet (polite form).,まだ + Verb-ます form (negative),昼ご飯をまだ食べていません。,Hirugohan o mada tabete imasen.,I have not eaten lunch yet.,JLPT N5
もう～ (mou～),"Expresses 'already', 'anymore', or 'soon'.",もう + Verb / もう + Adjective / もう + Noun,もう昼ごはんを食べました。,Mou hirugohan o tabemashita.,I already ate lunch.,JLPT N5
もうすぐ〜 (mou sugu~),"Express an action or event happening soon: 'soon', 'in a short while', 'almost'.",もうすぐ + Verb (~ます form or 〜る form),もうすぐ春が来ます。,Mou sugu haru ga kimasu.,Spring is coming soon.,JLPT N5
もっと〜 (motto〜),"Expresses 'more' or 'even more' when describing a quantity, frequency, or degree.",もっと + Verb / い-Adjective / な-Adjective,もっと勉強しなければなりません。,Motto benkyou shinakereba narimasen.,I have to study more.,JLPT N5
よく～ (yoku ~),Often used to express 'doing something well' or 'often'.,よく + Verb-casual,彼はよく勉強します。,Kare wa yoku benkyou shimasu.,He studies often.,JLPT N5
～（場所）に～があります (〜basho ni 〜 ga arimasu),Express the existence or presence of something in a place.,Place + に + Object/Thing + が + あります,図書館にたくさんの本があります。,Toshokan ni takusan no hon ga arimasu.,There are many books in the library.,JLPT N5
A とか B とか,"Used to express multiple examples or possibilities; 'such as', 'like', 'for example'.",Noun + とか + Noun + とか,週末は映画とか買い物とか楽しいことをしたいです。,Shuumatsu wa eiga toka kaimono toka tanoshii koto o shitai desu.,I want to do fun things like watching movies and shopping on the weekend.,JLPT N4
A は B ほど～ありません (A wa B hodo ～ arimasen),"Express that A is not as much as B; 'not as... as', 'not... to the extent of'.",A は B ほど Verb/adjective ありません,今日は昨日ほど寒くありません。,Kyou wa kinou hodo samuku arimasen.,Today is not as cold as yesterday.,JLPT N4
A は B ほど～ない (A wa B hodo ~ nai),Expressing that A is not as ~ as B; 'not as...as',"A は B ほど + い-Adjective stem (without い) + くない, な-Adjective + じゃない, Verb-negative potential form",山田さんは鈴木さんほど背が高くない。,Yamada-san wa Suzuki-san hodo se ga takakunai.,Yamada is not as tall as Suzuki.,JLPT N4
A より B のほうが〜 (A yori B no hou ga 〜),Comparing two things; 'B is more ~ than A'.,A + より + B + のほうが + Adjective/Verb,田中さんより鈴木さんのほうが背が高いです。,Tanaka-san yori Suzuki-san no hou ga se ga takai desu.,Suzuki is taller than Tanaka.,JLPT N4
い-Adjective く する/なる (i-Adjective kusuru/naru),Express a change happening or making something change.,い-Adjective (remove い) + く + する/なる,部屋を明るくします。,Heya o akaruku shimasu.,I will make the room brighter.,JLPT N4
な-adjective に する/なる,Used to indicate change or decision; 'to become' or 'to make' with na-adjectives.,な-Adjective + に + する/なる,部屋をきれいにする。,Heya o kirei ni suru.,To make the room clean.,JLPT N4
Noun しか～ない (Noun shika~nai),"Expresses 'only', 'nothing but', or 'no other'.",Noun + しか + Negative Verb,私はリンゴしか食べない。,Watashi wa ringo shika tabenai.,I eat only apples.,JLPT N4
Noun に する (Noun ni suru),"Used to indicate a choice or decision, 'to decide on' or 'to choose'.",Noun + に + する,メニューからピザにしました。,Menyu kara piza ni shimashita.,I decided on pizza from the menu.,JLPT N4
Noun に なる (Noun ni naru),To become; to change into; to turn into.,Noun + に + なる,彼は医者になりました。,Kare wa isha ni narimashita.,He became a doctor.,JLPT N4
のために (no tame ni),"Used to express purpose or reason; 'for', 'for the sake of', 'in order to'.",Noun + のために,勉強のために、図書館で静かな場所を探しています。,"Benkyou no tame ni, toshokan de shizukana basho o sagashiteimasu.","In order to study, I am looking for a quiet place in the library.",JLPT N4
Noun の 間に (〜no aida ni),Expresses 'while' or 'during' a specific period or time.,Noun + の間に,昼休みの間に銀行に行きます。,Hiruyasumi no aida ni ginkou ni ikimasu.,I will go to the bank during lunch break.,JLPT N4
Noun ばかり (〜bakari),"Expresses 'only', 'nothing but', 'always', or 'just'.","Noun + ばかり, Verb-casual + ばかり, い-Adjective + ばかり, な-Adjective + だ ばかり",彼はお金の話ばかりする。,Kare wa okane no hanashi bakari suru.,He talks about nothing but money.,JLPT N4
Noun を あげる (Noun wo ageru),"To give something to someone; 'give', 'offer', 'present'.",Noun + を + あげる,プレゼントをあげる。,Purezento wo ageru.,I give a present.,JLPT N4
Nounをいただく (Noun wo itadaku),"To receive or accept something politely; 'to receive', 'to get', 'to accept'.",Noun + を + いただく,プレゼントをいただきありがとうございます。,Purezento wo itadaki arigatou gozaimasu.,Thank you for the gift that I received.,JLPT N4
Nounをくださる,Used to express someone doing something as a favor or for the benefit of the speaker.,Noun + を + くださる,先生が資料をくださった。,Sensei ga shiryou wo kudasatta.,The teacher gave me the materials.,JLPT N4
Noun を くれる (Noun wo kureru),Expresses that someone gives a thing to the speaker or someone close to the speaker.,Giver + が + Receiver + に + Noun + を + くれる,友達が私にプレゼントをくれました。,Tomodachi ga watashi ni purezento wo kuremashita.,My friend gave me a present.,JLPT N4
Noun を さしあげる (Noun wo sashiageru),A polite way of expressing to give something.,Noun + を + さしあげる,先生に本をさしあげます。,Sensei ni hon wo sashiagemasu.,I will give a book to the teacher.,JLPT N4
Noun もらう (Noun wo morau),"To receive or get something from someone; 'to receive', 'to get'.",Noun + を + もらう,友達からプレゼントをもらいました。,Tomodachi kara purezento wo moraimashita.,I received a gift from my friend.,JLPT N4
Noun + 中 (Noun + ちゅう),"Express 'in the middle of', 'during', or 'in the process of'.",Noun + 中 (ちゅう),彼は仕事中です。,Kare wa shigotochuu desu.,He is in the middle of work.,JLPT N4
Verb させられる (Verb-saserareru),"Express the passive causative form; 'to be made to', 'to be forced to'.","Group 1 Verb: Replace ～う with ～わせられる, Group 2 Verb: Replace ～る with ～させられる, Group 3 Verb: する → させられる, くる → こさせられる",子供たちは先生に宿題をやらせられました。,Kodomo-tachi wa sensei ni shukudai wo yaraseraremashita.,The children were made to do their homework by the teacher.,JLPT N4
Verb させる (Verb-saseru),"Expresses 'to make someone do something', 'to let someone do something', or 'to cause someone to do something'.","Group 1 Verbs: Change the last hiragana to ～せる, Group 2 Verbs: Remove ～る and add ～させる, Group 3 Verbs: する → させる, くる → こさせる",先生が生徒に宿題をさせました。,Sensei ga seito ni shukudai o sasemashita.,The teacher made the students do homework.,JLPT N4
Verb た ことがある (Verb ta koto ga aru),Expresses the experience of having done something in the past.,Verb-た-form + ことがある,日本に行ったことがあります。,Nihon ni itta koto ga arimasu.,I have been to Japan before.,JLPT N4
Verb た ときに (Verb た ときに),"Express an action or event that occurred at a specific time in the past; 'when', 'at the time'.",Verb-た + ときに,映画を見たときに、泣きました。,"Eiga wo mita toki ni, nakimashita.","When I watched the movie, I cried.",JLPT N4
Verb た ところ (Verb ta tokoro),Expresses the situation right after an action has taken place.,Verb (た form) + ところ,ドアを開けたところ、猫が飛び出してきた。,"Doa wo aketa tokoro, neko ga tobidashite kita.","When I opened the door, a cat came jumping out.",JLPT N4
Verb たほうがいい (〜ta hou ga ii),Used to give advice or make a suggestion to someone - 'it's better if...'.,Verb (past tense) + ほうがいい,早く寝たほうがいい。,Hayaku neta hou ga ii.,It's better if you go to bed early.,JLPT N4
Verb ために (tame ni),"Used to describe the purpose or reason for an action; 'for the sake of', 'in order to', 'because of'.","1) Verb (dictionary form) + ために (purpose)
2) い-Adjective + ために (reason)
3) な-Adjective + な + ために (reason)
4) Noun + の + ために (reason)",試験に合格するために、毎日勉強しています。,"Shiken ni goukaku suru tame ni, mainichi benkyou shiteimasu.",I study every day in order to pass the exam.,JLPT N4
